enterprise,beta_a,beta_b,beta_c,beta_i,delta_a,delta_b,delta_c,delta_i
A,2,2,1,5,0,0,0,2
B,3,2,2,6,0,0,0,1
C,1,1,2,8,0,0,0,5
D,2,1,1,4,0,0,0,3
E,3,2,2,5,0,0,0,2
F,1,3,1,6,0,0,0,4
G,2,2,2,7,0,0,0,2
H,2,1,2,9,0,0,0,5
I,3,2,1,11,0,0,0,4
J,2,3,2,5,0,0,0,3
