enterprise,beta_a,beta_b,beta_c,beta_i,delta_a,delta_b,delta_c,delta_i
A,2,2,1,2,0,0,0,27
B,3,2,2,3,0,0,0,35
C,1,1,2,6,0,0,0,40
D,2,1,1,2,0,0,0,53
E,3,2,2,3,0,0,0,37
F,1,3,1,1,0,0,0,49
G,2,2,2,2,0,0,0,42
H,2,1,2,7,0,0,0,40
I,3,2,1,5,0,0,0,48
J,2,3,2,3,0,0,0,46
