enterprise,beta_a,beta_b,beta_c,beta_i,delta_a,delta_b,delta_c,delta_i
A,2,2,1,2,0,0,0,7
B,3,2,2,3,0,0,0,5
C,1,1,2,6,0,0,0,10
D,2,1,1,2,0,0,0,3
E,3,2,2,3,0,0,0,7
F,1,3,1,1,0,0,0,9
G,2,2,2,2,0,0,0,2
H,2,1,2,7,0,0,0,10
I,3,2,1,5,0,0,0,8
J,2,3,2,3,0,0,0,6
